user_id,first_date,recent_date,service_period
546.0,2022-11-18 18:09:06.901977600,2023-05-23 23:09:39.627158400,186.208712097
1365.0,2022-10-07 14:14:09.752329601,2023-04-07 18:13:20.279174400,182.1660940607037
1396.0,2022-11-20 07:17:20.257548800,2023-05-19 21:14:13.673203200,180.5811737922963
1448.0,2022-11-20 02:07:35.142374400,2023-05-18 16:01:41.751561600,179.57924316188888
240.0,2022-10-09 09:10:37.274332800,2023-04-04 07:01:03.403747200,176.910024646
819.0,2022-11-01 06:30:34.756982400,2023-04-14 03:10:17.794406400,163.860914785
1486.0,2022-11-15 14:28:22.264838400,2023-04-27 19:55:14.478800000,163.22699321714813
986.0,2022-11-14 12:29:03.943478400,2023-04-22 18:29:27.609372800,159.25027391081483
1465.0,2022-12-11 07:38:40.780134400,2023-05-19 04:21:33.610873600,158.86311146688888
1488.0,2022-11-08 13:44:49.606659200,2023-04-14 07:36:10.313782400,156.74398966577778
94.0,2022-12-12 19:54:32.231289600,2023-05-16 04:33:36.044064000,154.36046079599998
106.0,2022-10-26 14:41:53.981824000,2023-03-29 04:23:03.686022400,153.570251206
555.0,2022-11-16 23:06:06.966444800,2023-04-19 09:07:14.719020800,153.41745084
10.0,2022-11-26 03:21:18.631507200,2023-04-28 00:59:56.775977600,152.9018303758148
988.0,2022-10-31 10:11:37.259481600,2023-03-31 04:26:34.448659200,150.76038413400002
642.0,2022-10-16 11:06:15.790185600,2023-03-14 04:02:03.570659200,148.70541412585183
354.0,2022-11-22 16:48:53.252121600,2023-04-15 08:34:53.988249600,143.65695296444446
212.0,2022-12-15 11:31:57.162547200,2023-05-02 05:14:43.521158400,137.738036558
720.0,2022-09-30 15:58:52.503961600,2023-02-15 07:16:57.341123200,137.63755598566667
842.0,2022-12-02 15:23:11.398246400,2023-04-19 00:17:21.896230400,137.37095483777776
356.0,2022-10-30 03:08:32.330777600,2023-03-16 09:02:25.617462400,137.24575563292592
2.0,2022-11-18 13:32:19.457043200,2023-04-04 18:35:23.424323200,137.21046258425926
1291.0,2022-11-29 07:00:14.658307200,2023-04-15 11:39:45.199244800,137.1941034830741
226.0,2022-12-08 19:23:49.636172800,2023-04-24 21:53:38.484220800,137.10403759314815
156.0,2022-12-01 10:04:14.330956800,2023-04-16 01:11:29.333510400,135.6300347517778
979.0,2022-11-28 08:55:33.216025600,2023-04-12 08:34:58.723929600,134.98571189703705
